area_type,location,size,total_sqft,bath,balcony,price
Super built-up  Area,Addagutta,2 BHK,1056,2,1,39.07
Plot  Area,Adibatla,4 Bedroom,2600,5,3,120
Built-up  Area,Alkapuri,3 BHK,1440,2,3,62
Super built-up  Area,Ambedkar Nagar,3 BHK,1521,3,1,95
Super built-up  Area,Ameerpet,2 BHK,1200,2,1,51
Super built-up  Area,Aminpur,2 BHK,1170,2,1,38
Super built-up  Area,Anjaiah Nagar,4 BHK,2732,4,,204
Super built-up  Area,Anjaneya Nagar,4 BHK,3300,4,,600
Super built-up  Area,Appa Junction,3 BHK,1310,3,1,63.25
Plot  Area,Arunodaya Colony,6 Bedroom,1020,6,,370
Super built-up  Area,Attapur,3 BHK,1800,2,2,70
Plot  Area,Ayyappa Society,4 Bedroom,2785,5,3,295
Super built-up  Area,Bachupally,2 BHK,1000,2,1,38
Built-up  Area,Balaji Hills Colony,2 BHK,1100,2,2,40
Plot  Area,Bandam Kommu,3 Bedroom,2250,3,2,148
Super built-up  Area,Bandlaguda,2 BHK,1175,2,2,73.5
Super built-up  Area,Bowenpally,3 BHK,1180,3,2,73.5
Super built-up  Area,Bangalore Highway,3 BHK,1540,3,3,60
Super built-up  Area,Banjara Hills,3 BHK,2770,4,2,290
Super built-up  Area,Beeramguda,2 BHK,1100,2,2,48
Built-up  Area,Begumpet,1 BHK,600,1,1,15
Super built-up  Area,Boduppal,3 BHK,1755,3,1,122
Plot  Area,Camelot Layout,4 Bedroom,2800,5,2,380
Super built-up  Area,Chandanagar,3 BHK,1767,3,1,103
Super built-up  Area,D.D. Colony,1 RK,510,1,0,25.25
Super built-up  Area,Devender Colony,3 BHK,1250,3,2,56
Super built-up  Area,Dilsukh Nagar,2 BHK,660,1,1,23.1
Built-up  Area,Dullapally,3 BHK,1610,3,2,81
Super built-up  Area,Film Nagar,2 BHK,1151,2,2,48.77
Super built-up  Area,Financial District,3 BHK,1025,2,1,47
Super built-up  Area,Friends Colony,4 BHK,2100 - 2850,4,0,186
Super built-up  Area,Gachibowli,3 BHK,1075,2,1,35
Super built-up  Area,Gajulramaram,3 BHK,1760,2,2,123
Super built-up  Area,Gandhi Nagar,3 BHK,1693,3,3,57.39
Built-up  Area,Gangaram,3 BHK,1925,3,,125
Super built-up  Area,Gopanpally,2 BHK,700,2,1,36
Super built-up  Area,Hafeezpet,2 BHK,1070,2,1,45.5
Super built-up  Area,Hanuman Nagar,3 BHK,1724,3,2,125
Super built-up  Area,Harithavanam Colony,3 BHK,1290,2,2,56.12
Built-up  Area,Hi-Tech City,2 BHK,1143,2,2,45
Built-up  Area,Himayat Nagar,2 BHK,1296,2,,81
Super built-up  Area,HMT Swarnapuri Colony,3 BHK,1254,3,2,38
Super built-up  Area,Huda Layout,1 BHK,600,1,0,38
Plot  Area,Hyder Nagar,1 Bedroom,660,1,0,48
Super built-up  Area,Hydershakote,2 BHK,1330.74,2,2,91.79
Plot  Area,Indira Nagar,8 Bedroom,600,9,,200
Super built-up  Area,Isnapur,2 BHK,970,2,0,33
Super built-up  Area,Jagruthi Colony,2 BHK,1459,2,1,94.82
Plot  Area,Jai Bharat Nagar,2 Bedroom,800,1,1,130
Built-up  Area,Janardana Hills,2 BHK,869,2,1,36
Super built-up  Area,Jubilee Hills,2 BHK,1270,2,1,50
Super built-up  Area,Kapra,3 BHK,1670,3,1,99
Built-up  Area,Kavuri Hills,3 BHK,2010,3,2,91
Super built-up  Area,Khairatabad,2 BHK,1185,2,2,75
Super built-up  Area,Khajaguda,3 BHK,1600,2,3,75
Super built-up  Area,Kistareddypet,2 BHK,1200,2,2,44
Built-up  Area,Kokapet,4 Bedroom,3010 - 3410,,,192
Super built-up  Area,Kollur,2 BHK,1500,2,2,185
Plot  Area,Kollur Village,6 Bedroom,1407,4,1,150
Super built-up  Area,Kondapur,2 BHK,840,2,2,45
Plot  Area,Kothaguda,3 Bedroom,4395,3,2,240
Super built-up  Area,Kothapet,2 BHK,845,2,1,55
Plot  Area,KPHB,4 Bedroom,5700,5,3,650
Built-up  Area,Krishna Reddy Pet,2 BHK,1160,2,2,44
Built-up  Area,Krushi Nagar,8 Bedroom,3000,8,0,140
Super built-up  Area,Kukatpally,2 BHK,1100,2,1,62
Super built-up  Area,Kundanbagh,2 BHK,1140,2,3,43
Super built-up  Area,Lakdi-Ka-Pool,2 BHK,1220,2,1,57
Plot  Area,Lanco Hills,8 Bedroom,1350,7,0,85
Super built-up  Area,Laxmi Nagar,2 BHK,1005,2,1,36.68
Plot  Area,LB Nagar,3 Bedroom,500,3,2,100
Super built-up  Area,Lingampally,2 BHK,1358,2,1,80.58
Super built-up  Area,Madhapur,3 BHK,1569,3,1,101
Super built-up  Area,Madhura Nagar,2 BHK,1240,2,1,70
Super built-up  Area,Madinaguda,3 BHK,2089,3,2,140
Super built-up  Area,Mallampet,2 BHK,1206,2,1,48.23
Super built-up  Area,Manikonda,2 BHK,1150,2,3,40
Built-up  Area,Masab Tank,3 BHK,2511,3,3,205
Built-up  Area,Masjid Banda,2 BHK,460,1,0,22
Built-up  Area,Matrusri Nagar,6 Bedroom,4400,6,3,250
Super built-up  Area,Mayuri Nagar,3 BHK,1660,2,2,105
Built-up  Area,Medipally,4 Bedroom,2957 - 3450,,,224.5
Super built-up  Area,Meerpet,2 BHK,1326,2,2,78
Super built-up  Area,Mehdipatnam,3 BHK,1325,2,2,60.8
Super built-up  Area,Miyapur,3 BHK,1499,5,2,102
Built-up  Area,Moosapet,6 Bedroom,3000,7,2,210
Super built-up  Area,Moti Nagar,3 BHK,1665,3,2,88
Super built-up  Area,Muppas Panchavati Colony,2 BHK,708,2,2,37
Super built-up  Area,Muzaffar Ahmad Nagar,2 BHK,1060,2,2,58.06
Plot  Area,Mythri Nagar,6 Bedroom,710,6,3,160
Built-up  Area,Nagaram,2 BHK,1000,2,2,70
Super built-up  Area,Nagole,2 BHK,1000,2,1,28.88
Super built-up  Area,Nallagandla,3 BHK,1450,2,2,70
Plot  Area,Nallakunta,4 Bedroom,1200,4,2,155
